names,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Elizabeth Crain,female,group E,master's degree,free/reduced,none,81.0,86.0,87.0
Robert Frazier,male,group D,high school,free/reduced,completed,142.0,193.0,193.0
Jennifer Phillips,female,group C,some college,standard,none,193.0,193.0,193.0
Lynda Stotts,female,group D,some college,standard,none,74.0,89.0,84.0
Judy Webb,female,group E,associate's degree,standard,none,68.0,76.0,67.0
Terri Motley,female,group D,some college,standard,completed,82.0,97.0,96.0
Nathan Mewborn,male,group D,master's degree,standard,none,73.0,70.0,75.0
Sara Ray,female,group C,high school,free/reduced,none,35.0,124.0,193.0
Christine Cruson,female,group C,high school,standard,none,142.0,122.0,124.0
Jeanne White,female,group C,associate's degree,standard,none,59.0,66.0,67.0
Julia Hagan,female,group C,bachelor's degree,free/reduced,completed,74.0,86.0,89.0
Mary Wilson,female,group E,master's degree,standard,none,62.0,68.0,68.0
Lynn Hovey,female,group B,associate's degree,standard,none,49.0,193.0,124.0
David Lemke,male,group E,some college,standard,completed,84.0,83.0,78.0
Clarice Machida,female,group D,some college,free/reduced,completed,67.0,86.0,83.0
Lindsay Miller,female,group C,bachelor's degree,standard,none,81.0,88.0,90.0
Ruth Dupre,female,group C,high school,free/reduced,none,33.0,41.0,43.0
Amy Hawes,female,group B,bachelor's degree,standard,none,142.0,147.0,193.0
Richard Benitez,male,group B,some college,free/reduced,completed,59.0,65.0,66.0
Wendy Lewis,female,group B,high school,standard,none,87.0,95.0,86.0
Beatrice Aragon,female,group B,master's degree,free/reduced,completed,77.0,97.0,94.0
Christopher Emmons,male,group C,high school,free/reduced,completed,58.0,51.0,52.0
Richard Lindenbaum,male,group D,some college,free/reduced,none,69.0,66.0,60.0
Edward Killingsworth,male,group C,high school,standard,none,,,124.0
Jesus Currier,male,group B,some high school,standard,completed,65.0,66.0,62.0
Angie Laskoski,female,group C,bachelor's degree,standard,completed,92.0,100.0,99.0
Michael Diaz,male,group E,associate's degree,standard,none,87.0,74.0,76.0
William Musick,male,group B,some college,standard,none,69.0,54.0,55.0
Brett Whitehair,male,group C,some college,standard,none,,193.0,193.0
George Lindsay,male,group E,some high school,free/reduced,completed,73.0,67.0,59.0
Brandi Adams,female,group A,some college,free/reduced,none,61.0,60.0,57.0
Richard Yoakum,male,group D,some high school,free/reduced,completed,55.0,59.0,59.0
Karolyn Hollingsworth,female,group C,some college,standard,completed,67.0,81.0,79.0
Charles Suggs,male,group C,some college,free/reduced,none,193.0,193.0,
Diane Olson,female,group C,some college,standard,completed,69.0,90.0,88.0
Kathryn Novak,female,group B,some college,free/reduced,none,74.0,81.0,76.0
Karen Honea,female,group D,some high school,standard,completed,64.0,60.0,74.0
Fannie Sleeper,female,group D,associate's degree,free/reduced,none,56.0,65.0,63.0
Lorena Reed,female,group C,high school,free/reduced,none,36.0,53.0,43.0
Christopher Kilkenny,male,group D,high school,standard,none,41.0,52.0,51.0
Rodney Vaughn,male,group B,high school,standard,completed,142.0,193.0,
Susan Lairmore,female,group C,associate's degree,free/reduced,none,124.0,193.0,193.0
William Barich,male,group A,bachelor's degree,free/reduced,completed,49.0,58.0,60.0
John Sabir,male,group C,some high school,free/reduced,completed,59.0,69.0,65.0
Dana Kramer,female,group C,high school,free/reduced,none,34.0,42.0,39.0
Kelle Lanterman,female,group E,high school,free/reduced,none,142.0,196.0,40.0
Isaiah Massey,male,group C,some college,standard,none,84.0,87.0,81.0
James Braun,male,group D,some college,standard,completed,76.0,83.0,79.0
Maria Murphy,female,group D,bachelor's degree,free/reduced,none,142.0,171.0,166.0
Jane Larson,female,group B,bachelor's degree,standard,none,61.0,72.0,70.0
Evangelina Hahn,female,group C,associate's degree,standard,completed,193.0,142.0,128.0
Mauricio Deering,male,group D,high school,free/reduced,none,193.0,,124.0
Richard Stevens,male,group D,some high school,standard,none,62.0,67.0,61.0
Ernestine Kizer,female,group C,some college,standard,completed,87.0,89.0,94.0
Tanya Anderson,female,group C,some college,free/reduced,completed,67.0,75.0,70.0
Laree Keene,female,group C,master's degree,standard,completed,54.0,64.0,67.0
Sheron Luzar,female,group B,some high school,free/reduced,completed,59.0,63.0,64.0
Judith Forker,female,group C,associate's degree,free/reduced,completed,68.0,67.0,69.0
Linda Mccormack,female,group D,some high school,free/reduced,none,67.0,84.0,84.0
Robert Beard,male,group C,some college,standard,none,91.0,74.0,76.0
Mary Jackson,female,group B,bachelor's degree,free/reduced,none,142.0,188.0,193.0
Gary Ely,male,group D,master's degree,standard,none,80.0,80.0,72.0
Emmie Mooreland,female,group C,bachelor's degree,standard,completed,96.0,100.0,100.0
Thomas Whitehead,male,group D,high school,standard,completed,68.0,64.0,66.0
Richard Barajas,male,group D,some college,standard,none,193.0,124.0,124.0
Aimee Winnen,female,group B,some high school,free/reduced,none,156.0,142.0,188.0
Charles Jackson,male,group E,some high school,standard,none,30.0,26.0,22.0
Susan Proctor,female,group D,master's degree,standard,none,124.0,193.0,193.0
Scott Price,male,group C,some college,free/reduced,none,,193.0,124.0
Shirley Witt,female,group C,some high school,standard,none,74.0,75.0,82.0
Barbra Wade,female,group E,some college,free/reduced,none,71.0,76.0,70.0
Carrie Robinson,female,group C,high school,free/reduced,none,35.0,61.0,54.0
Alex Mcdowell,male,group D,some high school,standard,none,81.0,78.0,78.0
Larry Braun,male,group C,some high school,free/reduced,completed,53.0,37.0,40.0
William Barich,male,group A,bachelor's degree,free/reduced,completed,49.0,193.0,142.0
James Daniel,male,group C,associate's degree,standard,none,147.0,193.0,193.0
Joseph Jaco,male,group B,some college,free/reduced,none,40.0,182.0,151.0
Mitchell Fisher,male,group B,associate's degree,standard,none,80.0,76.0,64.0
Joe Cooper,male,group E,associate's degree,standard,none,76.0,71.0,67.0
Jacqueline Holton,female,group C,high school,free/reduced,completed,142.0,188.0,147.0
Howard Parham,male,group D,some high school,standard,completed,76.0,70.0,69.0
Paula Barriere,female,group D,bachelor's degree,free/reduced,none,29.0,142.0,
Scott Mercer,male,group E,some college,standard,none,196.0,196.0,182.0
Jose Walker,male,group B,bachelor's degree,standard,none,63.0,71.0,69.0
Linda Odonnell,female,group E,associate's degree,free/reduced,completed,57.0,68.0,73.0
Kim Adams,female,group A,some college,standard,none,58.0,70.0,67.0
Brian Young,male,group C,some high school,standard,none,,,
Andreas Browder,male,group C,master's degree,free/reduced,completed,72.0,66.0,72.0
Sheron Luzar,female,group B,some high school,free/reduced,completed,196.0,,64.0
Ruth Patrick,female,group A,associate's degree,standard,completed,55.0,65.0,62.0
Carmelia Solis,female,group B,associate's degree,free/reduced,none,53.0,71.0,67.0
Dale Sylvain,male,group D,some college,free/reduced,none,,193.0,142.0
Kathy Edwards,female,group D,some high school,standard,completed,80.0,92.0,88.0
Bertha Nelson,female,group B,some high school,standard,none,41.0,55.0,51.0
Kathryn Neville,female,group C,some college,standard,none,55.0,69.0,65.0
Oscar Markow,male,group C,some high school,free/reduced,completed,51.0,56.0,53.0
Anthony Bommarito,male,group C,associate's degree,standard,none,85.0,76.0,71.0
Esther Childress,female,group E,master's degree,standard,none,81.0,92.0,91.0
Esther Riebe,female,group C,associate's degree,standard,completed,52.0,59.0,62.0
Sonia Brent,female,group B,some high school,free/reduced,none,18.0,32.0,28.0
Joshua Davis,male,group C,some college,free/reduced,none,193.0,193.0,193.0
Darlene Owsley,female,group D,bachelor's degree,free/reduced,none,73.0,79.0,84.0
Maxine Gulbranson,female,group D,some high school,free/reduced,none,48.0,54.0,53.0
Leona Markow,female,group A,some college,standard,none,56.0,58.0,64.0
Jennifer Gurley,female,group D,master's degree,standard,none,142.0,196.0,124.0
Pearl Anderson,female,group C,some high school,standard,none,124.0,,
Tom Perez,male,group B,some high school,standard,completed,63.0,67.0,67.0
Bobby Lloyd,male,group C,some college,standard,none,58.0,49.0,42.0
Sofia Williams,female,group C,some college,free/reduced,none,32.0,39.0,33.0
Gladys Kennedy,female,group A,some high school,free/reduced,none,59.0,73.0,69.0
Jennifer Thomas,female,group C,high school,standard,none,193.0,156.0,
Anna Johnson,female,group B,high school,free/reduced,none,142.0,156.0,193.0
Norman Reed,male,group E,some college,standard,none,193.0,193.0,193.0
Allen Schwarz,male,group C,some high school,standard,completed,63.0,60.0,57.0
Mary Levy,female,group D,some college,free/reduced,none,142.0,,
Anna Mascia,female,group C,some high school,standard,none,63.0,73.0,68.0
Suzanne Trosclair,female,group D,some high school,standard,none,80.0,90.0,82.0
James Michael,male,group B,high school,standard,completed,60.0,44.0,47.0
Kenneth Webster,male,group E,associate's degree,free/reduced,none,64.0,56.0,52.0
Angela Cressey,female,group D,some college,standard,none,98.0,100.0,99.0
Judy Schwantes,female,group C,some college,standard,none,59.0,71.0,70.0
Donna Duarte,female,group C,high school,standard,none,65.0,69.0,67.0
Matthew Freeman,male,group B,high school,standard,completed,193.0,49.0,193.0
Jonathan Mitchell,male,group E,high school,standard,completed,87.0,91.0,81.0
Crystal Smith,female,group C,high school,free/reduced,none,66.0,76.0,68.0
Alberto Roberts,male,group D,associate's degree,standard,none,52.0,55.0,49.0
Nicole Obrien,female,group B,bachelor's degree,free/reduced,none,193.0,124.0,124.0
Warner Munger,male,group A,some college,free/reduced,none,28.0,182.0,124.0
Harvey Pribbenow,male,group D,bachelor's degree,free/reduced,none,174.0,193.0,193.0
Chanel Payne,female,group D,associate's degree,standard,completed,73.0,75.0,80.0
Michael Cooney,male,group E,some high school,standard,completed,87.0,84.0,76.0
James Denk,male,group B,some college,standard,none,79.0,67.0,67.0
Anna Johnson,female,group B,high school,free/reduced,none,60.0,72.0,68.0
Jason Keck,male,group A,some college,free/reduced,completed,81.0,78.0,81.0
Bonnie Rodriguez,female,group E,high school,standard,completed,74.0,79.0,80.0
Oscar Markow,male,group C,some high school,free/reduced,completed,196.0,142.0,124.0
Terry Pulcher,male,group D,some college,free/reduced,completed,69.0,60.0,63.0
Betty Ellis,female,group D,master's degree,free/reduced,completed,47.0,58.0,67.0
Tom Sastre,male,group B,high school,standard,none,47.0,46.0,42.0
Shane Polite,male,group C,master's degree,free/reduced,completed,79.0,77.0,75.0
Ashley Mcray,female,group B,associate's degree,standard,none,82.0,80.0,77.0
Clarence Querry,male,group C,associate's degree,standard,none,92.0,79.0,84.0
Stacy Parker,female,group B,associate's degree,standard,none,57.0,69.0,68.0
Kelle Lanterman,female,group E,high school,free/reduced,none,41.0,45.0,40.0
Sheila Friel,female,group D,some college,free/reduced,none,49.0,58.0,60.0
Susan Miller,female,group B,some college,standard,completed,88.0,95.0,92.0
James Brooks,male,group C,master's degree,standard,none,79.0,78.0,77.0
Dolores Reddy,female,group D,bachelor's degree,standard,none,59.0,70.0,73.0
Richard Laughlin,male,group A,some high school,standard,none,71.0,62.0,50.0
Raymond Wiggins,male,group C,associate's degree,free/reduced,none,193.0,174.0,124.0
Peter Perez,male,group D,master's degree,standard,none,81.0,81.0,84.0
Audrey Shaffer,female,group D,some college,free/reduced,none,65.0,81.0,77.0
Derrick Crasco,male,group B,associate's degree,free/reduced,completed,82.0,78.0,74.0
Lee Trent,female,group D,associate's degree,standard,none,65.0,69.0,70.0
Dustin Henry,male,group C,high school,free/reduced,completed,40.0,46.0,50.0
Joy Hasler,female,group C,some college,standard,none,73.0,80.0,82.0
Jacqueline Mayrant,female,group E,some high school,free/reduced,none,156.0,188.0,193.0
Shirley Nicholls,female,group E,master's degree,free/reduced,none,56.0,72.0,65.0
Jonathan Pearson,male,group C,high school,standard,completed,69.0,58.0,53.0
Edward Lee,male,group D,some high school,standard,completed,193.0,122.0,131.0
Stuart Stanford,male,group D,associate's degree,standard,completed,67.0,72.0,67.0
James King,male,group B,some college,standard,completed,91.0,96.0,91.0
Verda Perryman,female,group C,bachelor's degree,free/reduced,none,67.0,75.0,72.0
James Mcnulty,male,group C,some high school,free/reduced,none,188.0,193.0,124.0
Thomas Rauer,male,group D,bachelor's degree,standard,none,124.0,49.0,
Cleo Jefferson,female,group D,master's degree,standard,none,87.0,100.0,100.0
Paul Sims,male,group D,some college,standard,completed,124.0,193.0,193.0
Wendy Freel,female,group C,some high school,standard,completed,65.0,74.0,77.0
Nicholas Reeves,male,group C,high school,standard,none,124.0,142.0,193.0
Kathryn White,female,group C,some college,standard,none,58.0,59.0,66.0
Martin Wilson,male,group D,high school,standard,completed,55.0,41.0,48.0
Kelly Bowar,female,group D,some high school,standard,none,48.0,58.0,54.0
Connie Banda,female,group C,some college,standard,completed,88.0,93.0,93.0
Kelly Greer,female,group C,associate's degree,free/reduced,none,53.0,61.0,62.0
Fred Jaeger,male,group E,bachelor's degree,standard,completed,85.0,66.0,71.0
Edith Johnson,female,group D,associate's degree,free/reduced,none,193.0,142.0,196.0
Haydee Kunkel,female,group C,high school,free/reduced,none,62.0,67.0,64.0
Kayla Lopez,female,group C,associate's degree,standard,completed,65.0,84.0,84.0
Paul Brownell,male,group B,high school,standard,none,82.0,82.0,80.0
Jeane Budds,female,group D,some college,standard,none,62.0,70.0,72.0
Scott Price,male,group C,some college,free/reduced,none,63.0,61.0,54.0
James Daniel,male,group C,associate's degree,standard,none,84.0,80.0,80.0
Richard Henry,male,group D,associate's degree,standard,none,193.0,174.0,193.0
Derrick Crasco,male,group B,associate's degree,free/reduced,completed,131.0,142.0,193.0
Jose Rogers,male,group D,some college,free/reduced,none,77.0,62.0,64.0
Joyce Bland,female,group D,some high school,free/reduced,none,50.0,64.0,59.0
Fannie Alvarez,female,group D,some college,free/reduced,none,69.0,65.0,74.0
Melissa Johnston,female,group C,some high school,free/reduced,none,0.0,17.0,10.0
Sara Kochan,female,group D,bachelor's degree,standard,none,188.0,193.0,193.0
Bambi Dyer,female,group D,associate's degree,free/reduced,none,193.0,196.0,142.0
Judith Mcenany,female,group D,bachelor's degree,standard,none,65.0,67.0,62.0
Carolyn Greer,female,group D,some college,standard,none,79.0,86.0,81.0
Nancy Mccormick,female,group D,some high school,free/reduced,completed,69.0,86.0,81.0
Kari Mitchell,female,group D,some college,free/reduced,none,193.0,193.0,193.0
Timothy Long,male,group C,high school,standard,completed,72.0,67.0,64.0
Sandra Pompey,female,group E,associate's degree,standard,none,100.0,100.0,100.0
Steven Marriot,male,group C,some college,free/reduced,none,65.0,58.0,49.0
Stanley Chappell,male,group A,associate's degree,free/reduced,none,47.0,57.0,44.0
Zachary Glenn,male,group E,some college,standard,completed,99.0,87.0,81.0
Michelle Smithson,female,group E,associate's degree,standard,none,51.0,51.0,54.0
Jeffrey Bostrom,male,group E,associate's degree,standard,completed,71.0,74.0,68.0
Hannah Harrison,female,group A,associate's degree,standard,completed,124.0,,193.0
Earnest Cole,male,group D,some college,standard,completed,82.0,82.0,88.0
Frank Shaffer,male,group A,bachelor's degree,standard,none,91.0,96.0,92.0
Sharon Garcia,female,group C,some high school,free/reduced,none,55.0,65.0,62.0
Carol Miller,female,group C,associate's degree,standard,completed,75.0,82.0,90.0
Antonio Evans,male,group C,high school,free/reduced,none,66.0,66.0,59.0
Tammi Aline,female,group E,associate's degree,standard,completed,95.0,89.0,92.0
Pam Otoole,female,group B,bachelor's degree,standard,none,72.0,72.0,74.0
Matthew Burns,male,group E,high school,standard,none,70.0,55.0,56.0
Gregory Fernandez,male,group E,high school,free/reduced,completed,57.0,56.0,54.0
Charles Herandez,male,group D,master's degree,free/reduced,completed,84.0,89.0,90.0
Shawn Lopez,male,group D,some college,standard,completed,193.0,196.0,193.0
Aaron Shelly,male,group D,associate's degree,standard,none,61.0,48.0,46.0
Charles Harian,male,group C,some high school,free/reduced,completed,45.0,52.0,49.0
Steven Hacker,male,group A,some high school,free/reduced,none,65.0,59.0,53.0
Wendy Gunnell,female,group D,some high school,free/reduced,none,27.0,34.0,32.0
Manuel Glover,male,group D,some college,standard,none,88.0,73.0,78.0
Linda Nevin,female,group B,some high school,standard,completed,65.0,82.0,78.0
James Piper,male,group D,bachelor's degree,free/reduced,none,63.0,66.0,67.0
Timothy Anderson,male,group C,associate's degree,free/reduced,completed,78.0,81.0,82.0
Logan Camp,male,group C,associate's degree,free/reduced,none,193.0,124.0,193.0
Julie Sciancalepore,female,group C,bachelor's degree,standard,none,65.0,72.0,74.0
Brandon Palmer,male,group D,associate's degree,free/reduced,none,90.0,87.0,75.0
Robert Morrison,male,group D,some college,standard,completed,100.0,97.0,99.0
Claudio Millender,male,group C,some college,free/reduced,completed,67.0,74.0,70.0
Emily King,female,group D,some college,standard,completed,74.0,75.0,79.0
William Sakkinen,male,group E,some college,standard,none,76.0,67.0,67.0
James Crawford,male,group D,master's degree,standard,none,193.0,147.0,131.0
Elsa Hyman,female,group B,high school,standard,none,66.0,72.0,70.0
Virginia Sievers,female,group C,bachelor's degree,standard,completed,59.0,64.0,75.0
Laura Cavanaugh,female,group C,associate's degree,standard,completed,62.0,76.0,80.0
Diana Costa,female,group C,high school,free/reduced,none,41.0,46.0,43.0
Gloria Bradford,female,group B,high school,standard,none,124.0,64.0,193.0
Amy Sieving,female,group C,high school,standard,none,29.0,29.0,30.0
Richard Young,male,group D,high school,standard,none,69.0,75.0,71.0
Adam Romero,male,group C,high school,standard,completed,124.0,193.0,49.0
Wanda Russell,female,group B,high school,free/reduced,completed,23.0,44.0,36.0
Alexander Dillon,male,group D,associate's degree,standard,none,193.0,142.0,193.0
Marina Zeigler,female,group C,bachelor's degree,free/reduced,completed,66.0,74.0,81.0
Laurie Carter,female,group B,some high school,standard,completed,54.0,61.0,62.0
Joseph Mccoy,male,group D,some college,free/reduced,none,193.0,196.0,193.0
Amanda Perez,female,group A,high school,standard,completed,68.0,80.0,76.0
